Period,Year_Midpoint,Volume,Sex,Total_Cases,Total_Population,Crude_Rate_per_100k
1993-1997,1995,VIII,Female,4649,6283520,73.9872
1993-1997,1995,VIII,Male,4146,6865985,60.3846
1998-2002,2000,IX,Female,6218,8353655,74.4345
1998-2002,2000,IX,Male,5242,9288775,56.4337
2003-2007,2005,X,Female,6405,9807659,65.3061
2003-2007,2005,X,Male,5635,10899869,51.6979
2008-2011,2010,XI,Female,6068,10516111,57.7019
2008-2011,2010,XI,Male,5294,11826611,44.7635
2013-2017,2015,XII,Female,11062,13400241,82.5508
2013-2017,2015,XII,Male,9483,14785028,64.1392
